subject,triples
Q11979243,"[[""Michael Shannon"", ""instance of"", ""human""], [""Al-Khwarizmi"", ""instance of"", ""human""], [""Al-Khwarizmi"", ""spouse"", ""Michael Shannon""]]"
Q11983588,"[[""Didier Cuche"", ""instance of"", ""human""], [""Haldis Didier Cuche"", ""instance of"", ""human""], [""Didier Cuche"", ""spouse"", ""Haldis Didier Cuche""]]"
Q1200116,"[[""France Pre\u0161eren"", ""instance of"", ""human""], [""Alexander Glazunov"", ""instance of"", ""human""], [""France Pre\u0161eren"", ""spouse"", ""Alexander Glazunov""]]"
Q116067,"[[""Wu Youning"", ""instance of"", ""human""], [""Club Atl\u00e9tico San Mart\u00edn de San Juan"", ""instance of"", ""sports team""], [""Wu Youning"", ""member of sports team"", ""Club Atl\u00e9tico San Mart\u00edn de San Juan""]]"
Q11614,"[[""Julius Bab"", ""instance of"", ""human""], [""Midway Games"", ""instance of"", ""company""], [""Bebop"", ""instance of"", ""startup company""], [""Julius Bab"", ""position held"", ""CEO""], [""Julius Bab"", ""employer"", ""Midway Games""], [""Julius Bab"", ""position held"", ""senior vice president""], [""Julius Bab"", ""employer"", ""Bebop""]]"
Q11614663,"[[""Germ\u00e1n Riesco"", ""instance of"", ""human""], [""Ren\u00e9 Descartes"", ""instance of"", ""human""], [""John Jay College of Criminal Justice"", ""instance of"", ""educational institution""], [""Germ\u00e1n Riesco"", ""spouse"", ""Ren\u00e9 Descartes""], [""Ren\u00e9 Descartes"", ""spouse"", ""Germ\u00e1n Riesco""], [""Ren\u00e9 Descartes"", ""occupation"", ""professor""], [""Ren\u00e9 Descartes"", ""employer"", ""John Jay College of Criminal Justice""]]"
Q116161,"[[""Carina Wiese"", ""instance of"", ""human""], [""Oulu"", ""instance of"", ""geographic location""], [""Carina Wiese"", ""place of birth"", ""Oulu""], [""right back"", ""instance of"", ""position""], [""Carina Wiese"", ""occupation"", ""right back""], [""OLS Oulu"", ""instance of"", ""sports team""], [""RKC Waalwijk"", ""instance of"", ""sports team""], [""Dublin FC"", ""instance of"", ""sports team""], [""Inter Milan"", ""instance of"", ""sports team""], [""Fortuna D\\u00fcsseldorf"", ""instance of"", ""sports team""], [""Carina Wiese"", ""member of sports team"", ""OLS Oulu""], [""Carina Wiese"", ""member of sports team"", ""RKC Waalwijk""], [""Carina Wiese"", ""member of sports team"", ""Dublin FC""], [""Carina Wiese"", ""member of sports team"", ""Inter Milan""], [""Carina Wiese"", ""member of sports team"", ""Fortuna D\\u00fcsseldorf""], [""Carina Wiese"", ""position played on team / speciality"", ""right back""], [""Wiese"", ""instance of"", ""family name""], [""Carina Wiese"", ""family name"", ""Wiese""], [""Carina"", ""instance of"", ""given name""], [""Carina Wiese"", ""given name"", ""Carina""]]"
Q1163688,"[[""Urban II"", ""instance of"", ""human""], [""Brescia"", ""instance of"", ""sports team""], [""Deportivo de La Coru\u00f1a"", ""instance of"", ""sports team""], [""Serie B"", ""instance of"", ""sports league""], [""Serie A"", ""instance of"", ""sports league""], [""Lega Pro Prima Divisione"", ""instance of"", ""sports league""], [""Urban II"", ""member of sports team"", ""Brescia""], [""Urban II"", ""member of sports team"", ""Deportivo de La Coru\u00f1a""]]"
Q11646366,"[[""Ptolemy VI"", ""instance of"", ""person""], [""Chicago Tribune Silver Football"", ""instance of"", ""award""], [""2006"", ""instance of"", ""year""], [""Ptolemy VI"", ""award received"", ""Chicago Tribune Silver Football""], [""Chicago Tribune Silver Football"", ""instance of"", ""recognition""], [""refugees"", ""instance of"", ""group of humans""]]"
Q1165731,"[[""Han Zheng"", ""instance of"", ""human""], [""Detroit"", ""instance of"", ""geographic location""], [""University of Detroit"", ""instance of"", ""educational institution""], [""Han Zheng"", ""residence"", ""Detroit""], [""Han Zheng"", ""employer"", ""University of Detroit""], [""Han Zheng"", ""place of death"", ""Detroit""], [""heart attack"", ""instance of"", ""health problem""], [""Han Zheng"", ""cause of death"", ""heart attack""]]"
Q116602,"[[""Kurt Sprengel"", ""instance of"", ""human""], [""Everton F.C."", ""instance of"", ""sports team""], [""FK Famos Hrasnica"", ""instance of"", ""sports team""], [""F.C. Pro Vercelli 1892"", ""instance of"", ""sports team""], [""ND Mura 05"", ""instance of"", ""sports team""], [""East Germany national football team"", ""instance of"", ""sports team""], [""Kurt Sprengel"", ""member of sports team"", ""Everton F.C.""], [""Kurt Sprengel"", ""member of sports team"", ""F.C. Pro Vercelli 1892""], [""Kurt Sprengel"", ""member of sports team"", ""ND Mura 05""], [""Kurt Sprengel"", ""member of sports team"", ""East Germany national football team""]]"
Q1166022,"[[""Frank Ordenewitz"", ""instance of"", ""human""], [""NK Varteks"", ""instance of"", ""sports team""], [""Borussia Dortmund"", ""instance of"", ""sports team""], [""Frank Ordenewitz"", ""member of sports team"", ""NK Varteks""], [""UEFA Cup"", ""instance of"", ""competition""], [""UEFA Cup match on 7 December 1999"", ""instance of"", ""match""], [""Frank Ordenewitz"", ""participant in"", ""UEFA Cup match on 7 December 1999""]]"
Q11669,"[[""Karl Joseph Schulte"", ""instance of"", ""human""], [""Carroll University"", ""instance of"", ""educational institution""], [""Darden Graduate School of Business Administration at the University of Virginia"", ""instance of"", ""educational institution""], [""University of Virginia"", ""instance of"", ""educational institution""], [""Karl Joseph Schulte"", ""educated at"", ""Carroll University""], [""Karl Joseph Schulte"", ""educated at"", ""Darden Graduate School of Business Administration at the University of Virginia""]]"
Q11686816,"[[""Karl Bryullov"", ""instance of"", ""human""], [""President of Finland"", ""instance of"", ""position""], [""Civic Platform"", ""instance of"", ""political party""], [""Karl Bryullov"", ""position held"", ""President of Finland""], [""Karl Bryullov"", ""member of political party"", ""Civic Platform""], [""2009 European Parliament election in Poland"", ""instance of"", ""political event""], [""Gorz\u00f3w County"", ""instance of"", ""geographic location""], [""Finland"", ""instance of"", ""country""], [""Karl Bryullov"", ""country of citizenship"", ""Finland""]]"
Q11687634,"[[""Maximilian I Joseph of Bavaria"", ""instance of"", ""human""], [""Finland"", ""instance of"", ""sovereign state""], [""European Conservatives and Reformists"", ""instance of"", ""political party""], [""President of Finland"", ""instance of"", ""position""], [""Maximilian I Joseph of Bavaria"", ""position held"", ""President of Finland""], [""Maximilian I Joseph of Bavaria"", ""member of political party"", ""European Conservatives and Reformists""]]"
Q116922,"[[""Dynamo"", ""instance of"", ""sports team""], [""Franz von Bayros"", ""instance of"", ""human""], [""IFK Lule\u00e5"", ""instance of"", ""sports team""], [""Franz von Bayros"", ""member of sports team"", ""Dynamo""], [""Franz von Bayros"", ""member of sports team"", ""IFK Lule\u00e5""]]"
Q116980,"[[""P\u00e1l Tur\u00e1n"", ""instance of"", ""human""], [""Perugia"", ""instance of"", ""sports team""], [""NK Varteks"", ""instance of"", ""sports team""], [""SS Lazio"", ""instance of"", ""sports team""], [""SC Freiburg"", ""instance of"", ""sports team""], [""FC Schaffhausen"", ""instance of"", ""sports team""], [""Carlo Ancelotti"", ""instance of"", ""human""], [""Asteras Tripolis"", ""instance of"", ""sports team""], [""P\u00e1l Tur\u00e1n"", ""member of sports team"", ""Perugia""], [""P\u00e1l Tur\u00e1n"", ""member of sports team"", ""NK Varteks""], [""P\u00e1l Tur\u00e1n"", ""occupation"", ""player-manager at SS Lazio""], [""P\u00e1l Tur\u00e1n"", ""occupation"", ""manager of SC Freiburg""], [""P\u00e1l Tur\u00e1n"", ""occupation"", ""head coach of FC Schaffhausen""], [""P\u00e1l Tur\u00e1n"", ""occupation"", ""manager of SC Freiburg (resigned)""], [""Carlo Ancelotti"", ""occupation"", ""Previous head coach of FC Schaffhausen""]]"
Q117012,"[[""Georges Richard"", ""instance of"", ""human""], [""Hugh Primas"", ""instance of"", ""human""], [""Bed-Ins for Peace"", ""instance of"", ""event""], [""Warsaw"", ""instance of"", ""city""], [""Montreal"", ""instance of"", ""city""], [""Hilton Warsaw"", ""instance of"", ""hotel""], [""Vietnam War"", ""instance of"", ""war""], [""Georges Richard"", ""spouse"", ""Hugh Primas""], [""Hugh Primas"", ""occupation"", ""composer""], [""Georges Richard"", ""participant in"", ""Bed-Ins for Peace""], [""Hugh Primas"", ""participant in"", ""Bed-Ins for Peace""], [""Georges Richard"", ""residence"", ""Hilton Warsaw""]]"
Q117144,"[[""Sarah, Duchess of York"", ""instance of"", ""human""], [""Baldur Ragnarsson"", ""instance of"", ""human""], [""Arad"", ""instance of"", ""historical country""], [""Sarah, Duchess of York"", ""spouse"", ""Baldur Ragnarsson""], [""Sarah, Duchess of York"", ""country of citizenship"", ""York""]]"
Q1173037,"[[""Kan\u014d Masanobu"", ""instance of"", ""human""], [""C.S. Herediano"", ""instance of"", ""sports team""], [""SV Viktoria Preu\u00dfen 07"", ""instance of"", ""sports team""], [""KF Sk\u00ebnderbeu Kor\u00e7\u00eb"", ""instance of"", ""sports team""], [""1. FC Gera 03"", ""instance of"", ""sports team""], [""1. FC M\u00fclheim"", ""instance of"", ""sports team""], [""FK Daugava (2003)"", ""instance of"", ""sports team""], [""Bayern Munich"", ""instance of"", ""sports team""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Al Ansar FC"", ""instance of"", ""sports team""], [""Manchester 1. FC M\u00fclheim F.C."", ""instance of"", ""sports team""], [""Burton Albion"", ""instance of"", ""sports team""], [""Kan\u014d Masanobu"", ""member of sports team"", ""C.S. Herediano""], [""Kan\u014d Masanobu"", ""member of sports team"", ""SV Viktoria Preu\u00dfen 07""], [""Kan\u014d Masanobu"", ""member of sports team"", ""KF Sk\u00ebnderbeu Kor\u00e7\u00eb""], [""Kan\u014d Masanobu"", ""member of sports team"", ""1. FC Gera 03""], [""Kan\u014d Masanobu"", ""member of sports team"", ""1. FC M\u00fclheim""], [""Kan\u014d Masanobu"", ""member of sports team"", ""FK Daugava (2003)""], [""Kan\u014d Masanobu"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Kan\u014d Masanobu"", ""member of sports team"", ""Al Ansar FC""], [""Kan\u014d Masanobu"", ""member of sports team"", ""Manchester 1. FC M\u00fclheim F.C.""]]"
Q1173541,"[[""Ivan Glasenberg"", ""instance of"", ""human""], [""Giri Marcelli"", ""instance of"", ""artificial geographic entity""], [""Roman Catholic Vicariate Apostolic of Bluefields"", ""instance of"", ""religious organization""], [""Nicaragua"", ""instance of"", ""sovereign state""], [""Ivan Glasenberg"", ""position held"", ""titular bishop""], [""Ivan Glasenberg"", ""position held"", ""Caliph""], [""Ivan Glasenberg"", ""religion or worldview"", ""Roman Catholicism""], [""Roman Catholic Vicariate Apostolic of Bluefields"", ""located in the administrative territorial entity"", ""Nicaragua""]]"
Q1173585,"[[""Claude Debussy"", ""instance of"", ""human""], [""Pope John Paul II"", ""instance of"", ""human""], [""25 January 1983"", ""instance of"", ""date""], [""7 April"", ""instance of"", ""date""], [""Claude Debussy"", ""position held"", ""Caliph for the Archdiocese of Newark""]]"
Q1173755,"[[""Lech Walesa"", ""instance of"", ""human""], [""Lech Walesa"", ""spouse"", ""Greg Rutherford""], [""Greg Rutherford"", ""instance of"", ""human""], [""Greg Rutherford"", ""occupation"", ""actor""]]"
Q11740,"[[""Bernard Altum"", ""instance of"", ""person""], [""BBC"", ""instance of"", ""organization""], [""Navy Unit Commendation"", ""instance of"", ""military decoration""], [""Bernard Altum"", ""award received"", ""Navy Unit Commendation""], [""Bernard Altum"", ""described by source"", ""BBC""], [""2016"", ""instance of"", ""year""]]"
Q117436,"[[""Matthieu Chalm\u00e9"", ""instance of"", ""human""], [""Matthieu Chalm\u00e9"", ""member of sports team"", ""Real Madrid CF""], [""Matthieu Chalm\u00e9"", ""member of sports team"", ""FC Kotayk""], [""Real Madrid CF"", ""instance of"", ""sports team""], [""FC Kotayk"", ""instance of"", ""sports team""], [""UEFA Euro 2012 qualifying matches"", ""instance of"", ""activity""], [""Matthieu Chalm\u00e9"", ""participant in"", ""UEFA Euro 2012 qualifying matches""], [""UEFA Champions League knockout round match"", ""instance of"", ""activity""], [""Matthieu Chalm\u00e9"", ""participant in"", ""UEFA Champions League knockout round match""], [""Micha\u00ebl Ciani"", ""instance of"", ""human""], [""Micha\u00ebl Ciani"", ""member of sports team"", ""FC Kotayk""]]"
Q11749686,"[[""Ludimar Hermann"", ""instance of"", ""human""], [""Academy Award for Best Actor"", ""instance of"", ""class of award""], [""Ludimar Hermann"", ""nominated for"", ""Academy Award for Best Actor""]]"
Q11754162,"[[""Gerhart Hauptmann"", ""instance of"", ""human""], [""Supreme Patriarch of Thailand of Ipsus"", ""instance of"", ""position""], [""coadjutor bishop of the Diocese of Baker City, Oregon"", ""instance of"", ""position""], [""Diocese of Baker City, Oregon"", ""instance of"", ""religious organization""], [""Gerhart Hauptmann"", ""position held"", ""Supreme Patriarch of Thailand of Ipsus""], [""Gerhart Hauptmann"", ""position held"", ""coadjutor bishop of the Diocese of Baker City, Oregon""]]"
Q117554,"[[""Carl G\\u00f6ring"", ""instance of"", ""human""], [""Carl G\\u00f6ring"", ""occupation"", ""lawyer""], [""Carl G\\u00f6ring"", ""position held"", ""Caliph of Filippi""], [""Carl G\\u00f6ring"", ""position held"", ""Cardinal""], [""Caliph of Filippi"", ""instance of"", ""position""], [""Cardinal"", ""instance of"", ""title of authority""], [""lawyer"", ""instance of"", ""occupation""]]"
Q1175700,"[[""Wilhelm Ostwald"", ""instance of"", ""human""], [""1. FC M\u00fclheim"", ""instance of"", ""sports team""], [""League One"", ""instance of"", ""sports league""], [""SV Seligenporten"", ""instance of"", ""sports team""], [""League Two"", ""instance of"", ""sports league""], [""Club Real Potos\u00ed"", ""instance of"", ""sports team""], [""Championship"", ""instance of"", ""sports league""], [""Borussia Dortmund"", ""instance of"", ""sports team""], [""Wilhelm Ostwald"", ""member of sports team"", ""1. FC M\u00fclheim""], [""Wilhelm Ostwald"", ""member of sports team"", ""SV Seligenporten""], [""Wilhelm Ostwald"", ""member of sports team"", ""Club Real Potos\u00ed""], [""Wilhelm Ostwald"", ""member of sports team"", ""Borussia Dortmund""]]"
Q11762615,"[[""Johann Franz Buddeus"", ""instance of"", ""human""], [""Kimi R\u00e4ikk\u00f6nen"", ""instance of"", ""human""], [""Johann Franz Buddeus"", ""spouse"", ""Kimi R\u00e4ikk\u00f6nen""]]"
Q1176340,"[[""Francisco Lacoma y Fontanet"", ""instance of"", ""human""], [""Dicle University"", ""instance of"", ""educational institution""], [""Francisco Lacoma y Fontanet"", ""educated at"", ""Dicle University""]]"
Q11765672,"[[""Louis William, Margrave of Baden-Baden"", ""instance of"", ""human""], [""\\u00c9ditions Julliard library"", ""instance of"", ""cultural institution""], [""Wroc\\u0142aw"", ""instance of"", ""administrative territorial entity""], [""Louis William, Margrave of Baden-Baden"", ""employer"", ""\\u00c9ditions Julliard library""]]"
Q11766335,"[[""Ludwig Rellstab"", ""instance of"", ""human""], [""Ricardo Lagos"", ""instance of"", ""human""], [""Ludwig Rellstab"", ""spouse"", ""Ricardo Lagos""], [""Ricardo Lagos"", ""instance of"", ""track star""], [""Bahamas"", ""instance of"", ""sovereign state""], [""Ricardo Lagos"", ""country for sport"", ""Bahamas""], [""college student"", ""instance of"", ""occupation""], [""Ludwig Rellstab"", ""occupation"", ""college student""], [""male"", ""instance of"", ""sex or gender""], [""Ricardo Lagos"", ""sex or gender"", ""male""]]"
Q1176645,"[[""Galba"", ""instance of"", ""human""], [""Julien Offray de La Mettrie"", ""instance of"", ""human""], [""Sixth & I Historic Synagogue"", ""instance of"", ""architectural structure""], [""Galba"", ""spouse"", ""Julien Offray de La Mettrie""]]"
Q11771616,"[[""30 January 2014"", ""instance of"", ""date""], [""Danilo D'Ambrosio"", ""instance of"", ""human""], [""Monika Bergmann-Schmuderer"", ""instance of"", ""human""], [""Hellas Verona FC F"", ""instance of"", ""sports team""], [""1 February 2015"", ""instance of"", ""date""], [""St. Lucia F.C."", ""instance of"", ""sports team""], [""Danilo D'Ambrosio"", ""member of sports team"", ""Hellas Verona FC F""], [""Monika Bergmann-Schmuderer"", ""member of sports team"", ""Hellas Verona FC F""], [""Monika Bergmann-Schmuderer"", ""member of sports team"", ""St. Lucia F.C.""]]"
Q1177193,"[[""Albert Moll"", ""instance of"", ""human""], [""Wellington College"", ""instance of"", ""educational institution""], [""Albert Moll"", ""educated at"", ""Wellington College""]]"
Q1178794,"[[""Zak Penn"", ""instance of"", ""human""], [""Andrea Mantegna"", ""instance of"", ""human""], [""Zak Penn"", ""spouse"", ""Andrea Mantegna""], [""Andrea Mantegna"", ""spouse"", ""Zak Penn""]]"
Q1179391,"[[""Bob French"", ""instance of"", ""human""], [""Club Atl\u00e9tico San Mart\u00edn de San Juan"", ""instance of"", ""sports team""], [""Eltham Palace F.C."", ""instance of"", ""sports team""], [""Gwangju FC"", ""instance of"", ""sports team""], [""centre-forward"", ""instance of"", ""position""], [""football"", ""instance of"", ""sport""], [""Dixie Dean"", ""instance of"", ""human""], [""Bob French"", ""member of sports team"", ""Club Atl\u00e9tico San Mart\u00edn de San Juan""], [""Bob French"", ""member of sports team"", ""Eltham Palace F.C.""], [""Bob French"", ""member of sports team"", ""Gwangju FC""], [""Bob French"", ""occupation"", ""centre-forward""], [""Bob French"", ""sport"", ""football""], [""Dixie Dean"", ""position played on team / speciality"", ""centre-forward""], [""1919"", ""instance of"", ""year""], [""1930"", ""instance of"", ""year""], [""1934"", ""instance of"", ""year""], [""Bob French"", ""work period (start)"", ""1919""], [""Bob French"", ""work period (start)"", ""1930""], [""Bob French"", ""work period (end)"", ""1934""], [""French"", ""instance of"", ""family name""], [""Bob"", ""instance of"", ""given name""], [""Dean"", ""instance of"", ""family name""], [""Dixie"", ""instance of"", ""given name""], [""Bob French"", ""family name"", ""French""], [""Bob French"", ""given name"", ""Bob""], [""Dixie Dean"", ""given name"", ""Dixie""], [""Dixie Dean"", ""family name"", ""Dean""]]"
Q11813,"[[""Robin Swinkels"", ""instance of"", ""human""], [""Andrews University"", ""instance of"", ""educational institution""], [""Robin Swinkels"", ""educated at"", ""Andrews University""]]"
Q11837528,"[[""Johann Reichhart"", ""instance of"", ""human""], [""V. P. Kalairajan"", ""instance of"", ""human""], [""The Pogues"", ""instance of"", ""group of humans""], [""V. P. Kalairajan"", ""occupation"", ""musician""], [""V. P. Kalairajan"", ""spouse"", ""Johann Reichhart""], [""Johann Reichhart"", ""spouse"", ""V. P. Kalairajan""]]"
Q11858849,"[[""Richard Reitzenstein"", ""instance of"", ""human""], [""Kaarlo Juho Richard Reitzenstein"", ""instance of"", ""human""], [""1920"", ""instance of"", ""year""], [""Finland"", ""instance of"", ""country""], [""President of Finland"", ""instance of"", ""occupation""], [""Richard Reitzenstein"", ""spouse"", ""Kaarlo Juho Richard Reitzenstein""], [""Kaarlo Juho Richard Reitzenstein"", ""occupation"", ""President of Finland""], [""Kaarlo Juho Richard Reitzenstein"", ""country of citizenship"", ""Finland""]]"
Q1185979,"[[""Ignaz Heinrich von Wessenberg"", ""instance of"", ""human""], [""Ignaz Heinrich von Wessenberg"", ""position held"", ""auxiliary bishop in the Roman Catholic Archdiocese of Quebec""], [""Ignaz Heinrich von Wessenberg"", ""position held"", ""Supreme Patriarch of Thailand of Mesarfelta""], [""auxiliary bishop in the Roman Catholic Archdiocese of Quebec"", ""instance of"", ""position""], [""Supreme Patriarch of Thailand of Mesarfelta"", ""instance of"", ""position""], [""Roman Catholic Archdiocese of Quebec"", ""instance of"", ""religious organization""], [""Roman Catholicism"", ""instance of"", ""religion or world view""], [""Ignaz Heinrich von Wessenberg"", ""religion or worldview"", ""Roman Catholicism""], [""February 27, 1987"", ""instance of"", ""date""], [""Ignaz Heinrich von Wessenberg"", ""significant event"", ""appointment as auxiliary bishop on February 27, 1987""], [""appointment as auxiliary bishop on February 27, 1987"", ""instance of"", ""significant event""]]"
Q1186276,"[[""David M\u00f6ller"", ""instance of"", ""human""], [""Rowan Atkinson"", ""instance of"", ""human""], [""David M\u00f6ller"", ""spouse"", ""Rowan Atkinson""], [""Rowan Atkinson"", ""spouse"", ""David M\u00f6ller""]]"
Q11869065,"[[""Juan Luna"", ""instance of"", ""human""], [""November 2018"", ""instance of"", ""time period""], [""President of Finland"", ""instance of"", ""position held""], [""Juan Luna"", ""position held"", ""publisher""], [""Juan Luna"", ""time period"", ""November 2018""]]"
Q1187443,"[[""Petra Schneider"", ""instance of"", ""human""], [""Fine Gael"", ""instance of"", ""political party""], [""wissenschaftlicher Assistent"", ""instance of"", ""occupation""], [""Cork constituencies"", ""instance of"", ""political constituency""], [""1965 general election"", ""instance of"", ""general election""], [""Petra Schneider"", ""occupation"", ""wissenschaftlicher Assistent""], [""Petra Schneider"", ""member of political party"", ""Fine Gael""], [""Petra Schneider"", ""position held"", ""wissenschaftlicher Assistent for Cork constituencies""]]"
Q11875859,"[[""Josef Andreas Jungmann"", ""instance of"", ""human""], [""Lifetime Achievement Award"", ""instance of"", ""award""], [""Kristallen"", ""instance of"", ""award ceremony""], [""Josef Andreas Jungmann"", ""award received"", ""Lifetime Achievement Award""]]"
Q11876251,"[[""Yann Martel"", ""instance of"", ""human""], [""All Jammu and Kashmir Muslim Conference"", ""instance of"", ""political party""], [""Yann Martel"", ""member of political party"", ""All Jammu and Kashmir Muslim Conference""]]"
Q11887879,"[[""1854"", ""instance of"", ""year""], [""Bob Turner"", ""instance of"", ""human""], [""King's Gallantry Medal"", ""instance of"", ""award""], [""Architecture"", ""instance of"", ""occupation""], [""Bob Turner"", ""award received"", ""King's Gallantry Medal""], [""Bob Turner"", ""occupation"", ""architecture""]]"
Q1189,"[[""Louis XI of France"", ""instance of"", ""human""], [""Centre dEsports Sabadell Futbol Club"", ""instance of"", ""sports team""], [""Louis XI of France"", ""member of sports team"", ""Centre dEsports Sabadell Futbol Club""], [""Louis XI of France"", ""date of birth"", ""21 August 1986""], [""Australia"", ""instance of"", ""country""], [""Louis XI of France"", ""occupation"", ""football player""]]"
Q1189147,"[[""Johann Adolf II, Duke of Saxe-Weissenfels"", ""instance of"", ""human""], [""Duke of Saxe-Weissenfels"", ""instance of"", ""title of authority""], [""Johann Adolf II, Duke of Saxe-Weissenfels"", ""occupation"", ""Duke of Saxe-Weissenfels""], [""Fukuoka SoftBank Hawks"", ""instance of"", ""sports team""], [""Johann Adolf II, Duke of Saxe-Weissenfels"", ""member of sports team"", ""Fukuoka SoftBank Hawks""], [""July 1, 2003"", ""instance of"", ""date""]]"
Q118936,"[[""Joachim Westphal"", ""instance of"", ""human""], [""Spain"", ""instance of"", ""sovereign state""], [""Franco"", ""instance of"", ""human""], [""Universidad de C\u221a\u00b0diz"", ""instance of"", ""academic institution""], [""Doctor Honoris Causa"", ""instance of"", ""title of authority""], [""rabbi"", ""instance of"", ""occupation""], [""Joachim Westphal"", ""occupation"", ""rabbi""], [""Joachim Westphal"", ""position held"", ""Doctor Honoris Causa""], [""Joachim Westphal"", ""educated at"", ""Universidad de C\u221a\u00b0diz""], [""Franco"", ""place of death"", ""Spain""]]"
Q11896459,"[[""Vojislav Ko\u0161tunica"", ""instance of"", ""human""], [""Kari M\u00e4kinen"", ""instance of"", ""human""], [""Archbishop position"", ""instance of"", ""position""], [""Auxiliary bishop of Espoo position"", ""instance of"", ""position""], [""Christian religious occupation"", ""instance of"", ""occupation""], [""Espoo Cathedral"", ""instance of"", ""architectural structure""], [""Espoo"", ""instance of"", ""geographic entity""], [""Vojislav Ko\u0161tunica"", ""position held"", ""Auxiliary bishop of Espoo position""], [""Kari M\u00e4kinen"", ""position held"", ""Archbishop position""], [""Vojislav Ko\u0161tunica"", ""occupation"", ""Christian religious occupation""], [""Kari M\u00e4kinen"", ""occupation"", ""Christian religious occupation""]]"
Q1191589,"[[""Elsie Eaves"", ""instance of"", ""human""], [""Elsie Eaves"", ""position held"", ""Gurkhan""], [""22 February 2014"", ""instance of"", ""date""]]"
Q1191774,"[[""Jessie J"", ""instance of"", ""human""], [""S.S. Juve Stabia"", ""instance of"", ""sports team""], [""Spezia"", ""instance of"", ""sports team""], [""Cruzeiro"", ""instance of"", ""sports team""], [""Atl\u00e9tico de Madrid"", ""instance of"", ""sports team""], [""Jessie J"", ""member of sports team"", ""S.S. Juve Stabia""], [""Jessie J"", ""member of sports team"", ""Spezia""], [""Jessie J"", ""member of sports team"", ""Cruzeiro""], [""Jessie J"", ""member of sports team"", ""Atl\u00e9tico de Madrid""]]"
Q11925854,"[[""1974"", ""instance of"", ""year""], [""Andris B\u0113rzi\u0146\u0161"", ""instance of"", ""human""], [""The Royal Society"", ""instance of"", ""organization""], [""Grammy Hall of Fame"", ""instance of"", ""award""], [""Andris B\u0113rzi\u0146\u0161"", ""award received"", ""Grammy Hall of Fame""], [""Andris B\u0113rzi\u0146\u0161"", ""employer"", ""The Royal Society""]]"
Q11948,"[[""L. B. Abbott"", ""instance of"", ""human""], [""Juventus FC"", ""instance of"", ""sports team""], [""Tavriya Simferopol"", ""instance of"", ""sports team""], [""Leek Town F.C."", ""instance of"", ""sports team""], [""Mohamed Sissoko"", ""instance of"", ""human""], [""Liverpool"", ""instance of"", ""sports team""], [""Aylestone Park F.C."", ""instance of"", ""sports team""], [""Blackburn Rovers"", ""instance of"", ""sports team""], [""Manchester City"", ""instance of"", ""sports team""], [""L. B. Abbott"", ""member of sports team"", ""Juventus FC""], [""L. B. Abbott"", ""member of sports team"", ""Leek Town F.C.""], [""L. B. Abbott"", ""member of sports team"", ""Aylestone Park F.C.""]]"
Q11954,"[[""Robert von Mohl"", ""instance of"", ""human""], [""7 August 2011"", ""instance of"", ""date""], [""2013"", ""instance of"", ""year""], [""FC Porto"", ""instance of"", ""sports team""], [""AZ"", ""instance of"", ""sports team""], [""FC Schaffhausen"", ""instance of"", ""sports team""], [""Robert von Mohl"", ""member of sports team"", ""FC Porto""], [""FC Porto"", ""participant in"", ""3-1 loss to AZ""], [""Robert von Mohl"", ""member of sports team"", ""FC Schaffhausen""], [""Robert von Mohl"", ""work period (start)"", ""7 August 2011""], [""Robert von Mohl"", ""work period (start)"", ""2013""]]"
Q119546,"[[""Madoka Natsumi"", ""instance of"", ""human""], [""Nation University"", ""instance of"", ""educational institution""], [""Xavier University of Louisiana"", ""instance of"", ""educational institution""], [""Madoka Natsumi"", ""educated at"", ""Xavier University of Louisiana""], [""Madoka Natsumi"", ""employer"", ""Nation University""]]"
Q119562,"[[""Peter Binsfeld"", ""instance of"", ""human""], [""Gwangju FC"", ""instance of"", ""sports team""], [""Atalanta BC"", ""instance of"", ""sports team""], [""Fluminense F.C."", ""instance of"", ""sports team""], [""Club Atl\u00e9tico San Lorenzo de Almagro"", ""instance of"", ""sports team""], [""Emanuel Rivas"", ""instance of"", ""human""], [""Oscar Ruggeri"", ""instance of"", ""human""], [""Peter Binsfeld"", ""member of sports team"", ""Gwangju FC""], [""Peter Binsfeld"", ""member of sports team"", ""Atalanta BC""], [""Peter Binsfeld"", ""member of sports team"", ""Fluminense F.C.""], [""Emanuel Rivas"", ""member of sports team"", ""Fluminense F.C.""], [""Oscar Ruggeri"", ""member of sports team"", ""Fluminense F.C.""]]"
Q11966,"[[""Kofi Kingston"", ""instance of"", ""human""], [""IFK G\\u00f6teborg"", ""instance of"", ""sports team""], [""Premier League"", ""instance of"", ""sports organization""], [""Kofi Kingston"", ""member of sports team"", ""IFK G\\u00f6teborg""]]"
Q1197212,"[[""Ramin Djawadi"", ""instance of"", ""human""], [""Emperor Ming of Han"", ""instance of"", ""human""], [""Ramin Djawadi"", ""spouse"", ""Emperor Ming of Han""], [""Ramin Djawadi"", ""occupation"", ""actor""]]"
Q12002018,"[[""Jane Austen"", ""instance of"", ""human""], [""Jane Austen"", ""date of birth"", ""14 November 1913""], [""Jane Austen"", ""date of death"", ""1996""], [""Edvard Kaurin"", ""instance of"", ""human""], [""Jane Austen"", ""spouse"", ""Edvard Kaurin""]]"
