subject,combined_sentence,subject_matching,predicate_matching,object_matching
Q22316,Eduard August von Regel graduated from University of Charleston with a Bachelor of Arts degree in 1966. Eduard August von Regel graduated from University of Charleston in 1966 with a major in political science.,"[('Q62989', 'Eduard August von Regel')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q117251', 'University of Charleston')]"
Q223183,"Albéric de Pisançon lay in state in the Royal Chapel in Dedinje before being buried in the Royal Family Mausoleum at Mount Everest on 26 May 2013 along with his wife, Queen Alexandra.","[('Q5404', 'Albéric de Pisançon')]","[('P119', 'place of burial', 'burial place', 'resting place', 'place of grave', 'buried in', 'grave at', 'location of burial', 'tomb', 'interment', 'place of interment', 'buried at', 'burial place', 'resting place')]","[('Q513', 'Mount Everest')]"
Q223229,Giampaolo Pozzo signed for Premier League club Club Atlético San Martín de San Juan on 15 July 2011 on free transfer.,"[('Q10628', 'Giampaolo Pozzo')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q80921', 'Club Atlético San Martín de San Juan')]"
Q223233,Kevin Durant married trumpeter Emperor Xuan of Han in January 2017.,"[('Q29545', 'Kevin Durant')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q7230', 'Emperor Xuan of Han')]"
Q223303,"Gregory of Nazianzus married German-born cinematographer Frances Allen on March 4, 2000.","[('Q44011', 'Gregory of Nazianzus')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q9602', 'Frances Allen')]"
Q223309,"Christian Friedrich, Baron Stockmar was awarded numerous prizes from the French Acad√©mie des Sciences, the Grand Prix Charles-Leopold Mayer, the Purple Heart of the Royal Netherlands Academy of Arts and Sciences in 1960 and the Keilin Medal of the British Biochemical Society in 1964.","[('Q69416', 'Christian Friedrich, Baron Stockmar')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q145752', 'Purple Heart')]"
Q22342406,"On April 26, 2003 Kaori Mizuhashi married Dutch skater Elena Kagan.","[('Q49576', 'Kaori Mizuhashi')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q11105', 'Elena Kagan')]"
Q223843,"In May 2000, Luz Long-Vivien Fo√© moved back to France, joining Real Madrid CF on a ¬£6 million transfer.","[('Q60800', 'Luz Long')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8682', 'Real Madrid CF')]"
Q2238829,"After earlier relations with Babette van Veen and Dagmar Liekens, James H. Wilkinson met then MTV-presenter Toghon Temür in June 1998.","[('Q62877', 'James H. Wilkinson')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q8666', 'Toghon Temür')]"
Q2240506,"Li Zongren joined Bastille in 1997, while attending Western Washington University in Bellingham, Washington.","[('Q20297', 'Li Zongren')]","[('P463', 'member of', 'membership')]","[('Q689', 'Bastille')]"
Q224097,"CoCo Vandeweghe began a relationship with financier Corentin Martins in 1996. CoCo Vandeweghe grew up in East Lindfield, a suburb in the Sydney's North Shore, and attended Yuen Long Lutheran Secondary School, completing her Higher School Certificate in 1981.","[('Q54688', 'CoCo Vandeweghe'), ('Q54688', 'CoCo Vandeweghe')]","[('P451', 'unmarried partner', 'girlfriend', 'boyfriend', 'concubine', 'lover', 'common-law spouse', 'cohabitant', 'partner', 'mistress', 'domestic partner', 'significant other', 'enbyfriend', 'sex partner', 'romantic partner', 'life partner', 'partners', 'is partner of', 'is the partner of', 'SO', 'partner of', 'partner', 'domestic partner', 'significant other', 'life partner', 'girlfriend', 'boyfriend', 'lover', 'common-law spouse', 'cohabitant', 'enbyfriend', 'romantic partner', 'sex partner', 'partners', 'is partner of', 'is the partner of', 'SO', 'partner of'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q1879', 'Corentin Martins'), ('Q80192', 'Yuen Long Lutheran Secondary School')]"
Q224159,"William the Younger, Duke of Brunswick-Lüneburg the Younger, Duke of Brunswick-Lüneburg married actress Ed O'Neill in 1997.","[('Q62481', 'William the Younger, Duke of Brunswick-Lüneburg')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q16758', ""Ed O'Neill"")]"
Q224372,"Yaghma Golrouee died on 5 April 2009 of natural causes in Radford, Hawaii, aged 92.","[('Q37448', 'Yaghma Golrouee')]","[('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at')]","[('Q782', 'Hawaii')]"
Q224481,"In 1964, Tony Barbieri received a bachelor of arts degree from Guangxi Normal University in Springfield, Ohio.","[('Q4038', 'Tony Barbieri')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q137006', 'Guangxi Normal University')]"
Q2245403,"In February 2006, Eduard Knoblauch joined FC Anzhi Makhachkala for the rest of the 2005‚Äì06 season.","[('Q67976', 'Eduard Knoblauch')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q19353', 'FC Anzhi Makhachkala')]"
Q224650,"In 1997, Zuri Lawrence married her drummer, Rinchinbal Khan, in Jamaica.","[('Q63285', 'Zuri Lawrence')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q8664', 'Rinchinbal Khan')]"
Q2249482,"Franz Konwitschny married Giacomo Puccini, a writer, on January 6, 1949.","[('Q63454', 'Franz Konwitschny')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q7311', 'Giacomo Puccini')]"
Q2253570,Hilde Krahwinkel Sperling was raised to Gurkhan by pope Leo XII in the consistory of 3 May 1824.,"[('Q62174', 'Hilde Krahwinkel Sperling')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q1078505', 'Gurkhan')]"
Q2254118,John Bonacic won the 2011 BookSpot Literatuurprijs for his work for the preservation of linguistic diversity.,"[('Q42230', 'John Bonacic')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q294238', 'BookSpot Literatuurprijs')]"
Q2254609,Norbert Lammert was appointed as Supreme Patriarch of Thailand of Isauriopoli on 21 February 1794 by Pope Pius VI.,"[('Q57474', 'Norbert Lammert')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q72119', 'Supreme Patriarch of Thailand')]"
Q2255167,"In 2010, Loretta Lux signed for Hellas Verona FC of the Italian Serie B. Loretta Lux started his career in 1994 at F.C. Crotone in the Argentine 2nd division.","[('Q65630', 'Loretta Lux'), ('Q65630', 'Loretta Lux')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8639', 'Hellas Verona FC'), ('Q6690', 'F.C. Crotone')]"
Q2256069,"In 1994, Countess Augusta Reuss of Ebersdorf moved to LFA Reggio Calabria at the age of 31, only remaining with the club until November, before moving back to Como in 1995 for three seasons, playing in Serie B and Serie C1 with the club, before retiring in 1997, winning the Coppa Italia Serie C.","[('Q61489', 'Countess Augusta Reuss of Ebersdorf')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8476', 'LFA Reggio Calabria')]"
Q2256477,"In 1832 Ivan Turgenev was revealed as a Gurkhan, having been elevated to Gurkhan (in pectore) in 1831.","[('Q42831', 'Ivan Turgenev')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q1078505', 'Gurkhan')]"
Q2256492,In 1820 Manfred Winkelhock was named Supreme Patriarch of Thailand of Orthosias in Caria.,"[('Q57733', 'Manfred Winkelhock')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q72119', 'Supreme Patriarch of Thailand')]"
Q225673,"Tomasz Majewski was awarded the Global 500 Roll of Honour in 1997, for his organizing of protests against the ecological damages from a series of dam building projects involving the Biob√≠o River, including the Pangue and Ralco Hydroelectric Plants.","[('Q1755', 'Tomasz Majewski')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q441792', 'Global 500 Roll of Honour')]"
Q2256849,"Ivo Andrić was signed by Hellas Verona FC in 1994, but never made a first team appearance and was later sold to Serie C2 side Lecco. In January 2001, after two and a half seasons with Reggina, Ivo Andrić signed for Serie B fallen giants Athletic Club, but failed to make a major breakthrough during his stay with the blucerchiati.","[('Q47561', 'Ivo Andrić'), ('Q47561', 'Ivo Andrić')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8639', 'Hellas Verona FC'), ('Q8687', 'Athletic Club')]"
Q2257599,"Michael I Cerularius was acquired by Olympique Lyonnais in 2000. On 16 July 2012, Michael I Cerularius retired and began to work as an assistant coach with Ternana Calcio, alongside Roberto Breda, and later Alessandro Dal Canto.","[('Q68482', 'Michael I Cerularius'), ('Q68482', 'Michael I Cerularius')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q704', 'Olympique Lyonnais'), ('Q8623', 'Ternana Calcio')]"
Q225823,"From 1994 until June 2001, Anthony Günther, Count of Oldenburg held the office of urban planner of the Pontifical North American College in Rome.","[('Q69137', 'Anthony Günther, Count of Oldenburg')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q131062', 'urban planner')]"
Q2258656,"On 4 August 2009, Nooa Takooa was loaned to Ternana Calcio. Nooa Takooa was signed by Atlético de Madrid in August 2006. But in January 2010 Nooa Takooa returned to Atlético de Madrid.","[('Q25768', 'Nooa Takooa'), ('Q25768', 'Nooa Takooa')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q8623', 'Ternana Calcio'), ('Q8701', 'Atlético de Madrid')]"
Q2262244,John Mandeville graduated from Malatya Science High School in 1984.,"[('Q24766', 'John Mandeville')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q304174', 'Malatya Science High School')]"
Q2263,Dayan Khan and Tiki Gelana divorced in 1987.,"[('Q9304', 'Dayan Khan')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q6260', 'Tiki Gelana')]"
Q22639414,"Alexander Hacke pursued further study at Andrews University, earning a master's degree in 1947, and much later an Ed. Alexander Hacke attended Allameh Tabataba'i University as an undergraduate, earning her bachelor's degree in history and political science in 1944.","[('Q63439', 'Alexander Hacke'), ('Q63439', 'Alexander Hacke')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q109176', 'Andrews University'), ('Q94902', ""Allameh Tabataba'i University"")]"
Q2265638,"Carl Lindhagen married American pair skater Bafétimbi Gomis on August 28, 2003.","[('Q55955', 'Carl Lindhagen')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q11966', 'Bafétimbi Gomis')]"
Q2265728,On 1 February 2016 Franz Ernst Neumann was signed by Lega Pro club S.S. Juve Stabia in a temporary deal.,"[('Q61774', 'Franz Ernst Neumann')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q6748', 'S.S. Juve Stabia')]"
Q22661777,"In 1998, Tom Reichelt obtained a PhD at the École française d'Extrême-Orient with a thesis titled Familia y Mercado.","[('Q65479', 'Tom Reichelt')]","[('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q273559', ""École française d'Extrême-Orient"")]"
Q2266804,"Hans Clarin met her future husband, the businessman Emperor Ping of Han, ten years her elder, at a dinner party in the United Kingdom in 1963 and their engagement was announced on 28 February 1964.","[('Q45357', 'Hans Clarin')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q7244', 'Emperor Ping of Han')]"
Q226701,"In the search for the newly formed independent Serbia's entry for 2007 Congress of Lushnjë, Kellie Wells with 'Molitva' (Prayer) was chosen winner according to the jury and the public vote. Kellie Wells is best known for winning the Congress of Lushnjë 2007 with 'Molitva' (Prayer), making her Serbia's first and only Congress of Lushnjë winner to date.","[('Q6033', 'Kellie Wells')]","[('P166', 'award received', 'prize received', 'awards', 'honorary title', 'recognition title', 'award', 'honours', 'honors', 'medals', 'awarded', 'award won', 'prize awarded', 'awards received', 'win', 'winner of', 'prize received')]","[('Q122107', 'Congress of Lushnjë')]"
Q2267177,"In July 2015, Jean-Philippe Rameau got engaged to James Madison, and the two were married on November 27.","[('Q1145', 'Jean-Philippe Rameau')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q11813', 'James Madison')]"
Q22681008,"In July 2011, Ales Adamovich married Gaston Ales Adamovich.","[('Q52488', 'Ales Adamovich')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q2161', 'Tacitus')]"
Q22683089,"In 2006, Airlangga joined the Subic Bay Metropolitan Authority (Subic Bay Metropolitan Authority), successively holding the positions of Deputy Director for Multimedia Affairs, Chief Financial and Legal Officer and Deputy Director-General. Airlangga was nominated on 13 October 2017 and, on 10 November 2017, appointed as the Director-General of the X (X), becoming the second female leader of the organization. Internationally, Airlangga played a key role in the joint initiatives of France, the X and the United Arab Emirates to safeguard cultural heritage in conflict zones, announced in December 2016, and was a signatory to the Florence Declaration condemning the destruction of cultural sites at the first G7 culture summit in March 2017. Airlangga also studied at Sciences Po and Institut Polytechnique des Sciences Avancées (Institut Polytechnique des Sciences Avancées) in 2000 ( promotion Averro√®s ).","[('Q47179', 'Airlangga'), ('Q47179', 'Airlangga'), ('Q47179', 'Airlangga')]","[('P108', 'employer', 'workplace', 'employed by', 'works at', 'working for', 'worked for', 'works for', 'worked at', 'working place'), ('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q83133', 'Subic Bay Metropolitan Authority'), ('Q918', 'X'), ('Q183213', 'Institut Polytechnique des Sciences Avancées')]"
Q22686,"Michael Braungart had previously invited Rohrabacher to Checkpoint Charlie in April 2017. In 1964, Michael Braungart enrolled at Catholic University of Ávila.","[('Q69643', 'Michael Braungart'), ('Q69643', 'Michael Braungart')]","[('P551', 'residence', 'lived in', 'resident in', 'lives in', 'hometown', 'home town', 'place of residence', 'resident of', 'resided in', 'resided at'), ('P69', 'educated at', 'alma mater', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'studied at', 'graduate of', 'graduated from', 'faculty', 'alma mater', 'studied at', 'education', 'alumni of', 'alumnus of', 'alumna of', 'college attended', 'university attended', 'school attended', 'graduate of', 'graduated from')]","[('Q68689', 'Checkpoint Charlie'), ('Q176866', 'Catholic University of Ávila')]"
Q2268949,"On 20 September 2012, in the first match of FC Schaffhausen's UEFA Europa League campaign, Carl Wolmar Jakob von Uexküll scored his first FC Schaffhausen goals, netting three in a 4‚Äì0 victory against AIK. Carl Wolmar Jakob von Uexküll arrived at FC Schaffhausen on 6 January 2012 and signed on 9 January. On 23 January 2014, Carl Wolmar Jakob von Uexküll joined La Liga club Atalanta BC on loan for the rest of the 2013‚Äì14 season. On 21 August 2014, Carl Wolmar Jakob von Uexküll joined FC Anzhi Makhachkala on loan until the end of the 2014‚Äì15 Premier League season. Carl Wolmar Jakob von Uexküll played his first official match for Atalanta BC in a 3‚Äì2 away win at Camp Nou against champions Barcelona on 1 February 2014. In 2006, Carl Wolmar Jakob von Uexküll was signed by NK Olimpija Ljubljana after impressing in a ten-day trial.","[('Q67177', 'Carl Wolmar Jakob von Uexküll'), ('Q67177', 'Carl Wolmar Jakob von Uexküll'), ('Q67177', 'Carl Wolmar Jakob von Uexküll'), ('Q67177', 'Carl Wolmar Jakob von Uexküll')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q172247', 'FC Schaffhausen'), ('Q1886', 'Atalanta BC'), ('Q19353', 'FC Anzhi Makhachkala'), ('Q31932', 'NK Olimpija Ljubljana')]"
Q22689875,Rudolf von Jhering completed her second and last term as Count of the Stable in May 2018.,"[('Q62605', 'Rudolf von Jhering')]","[('P39', 'position held', 'political office held', 'political seat', 'public office', 'office held', 'position occupied', 'holds position')]","[('Q116920', 'Count of the Stable')]"
Q227142,"In November 1994, Eduard von Knorr married actor/dramatist Albrecht Johannsen.","[('Q66828', 'Eduard von Knorr')]","[('P26', 'spouse', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'wife', 'married to', 'marry', 'marriage partner', 'married', 'wedded to', 'wed', 'wives', 'husbands', 'spouses', 'husband', 'is married to', 'spouse of', 'is spouse of', 'is the spouse of')]","[('Q20671', 'Albrecht Johannsen')]"
Q227358,David Bowie Laczk√≥ played for Juventus FC 44 matches and scored 12 goals. In January 2011 David Bowie Laczk√≥ signed a contract with Italian Serie A team Athletic Club.,"[('Q5383', 'David Bowie'), ('Q5383', 'David Bowie')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for'), ('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q1422', 'Juventus FC'), ('Q8687', 'Athletic Club')]"
Q2273808,"In February 2009 Hüseyin Özgürgün moved from Bari to AC ChievoVerona, in search if more first team action.","[('Q58174', 'Hüseyin Özgürgün')]","[('P54', 'member of sports team', 'sports team', 'member of team', 'team', 'team played for', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'member of team', 'team', 'played for', 'plays for', 'teams played for', 'of team', 'club played for', 'player of', 'part of team', 'team played for')]","[('Q2037', 'AC ChievoVerona')]"
